"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_contig_10" 5492.70960072414 7.85096708408866 0.80192486908453 9.79015290179397 1.24108065457895e-22 6.70183553472635e-20
"Phel_contig_10001" 136.224412089297 1.62283402827037 0.601336778655818 2.69871074890502 0.00696086482381215 0.0424495894112321
"Phel_contig_10005" 51.5511935035151 -2.81500620110875 0.998955872982834 -2.81794849726773 0.00483315617507886 0.0322309890033045
"Phel_contig_10010" 8.7342056518699 2.86532451171911 0.922196358265538 3.10706552464402 0.00188954511553456 0.0157462092961213
"Phel_contig_10013" 189.785994443343 -2.07349227557011 0.50840301281869 -4.07844214784299 4.53384808021355e-05 0.000782822690108814
"Phel_contig_10045" 50.2388038133868 3.42533797269337 0.805681712528323 4.25147787200514 2.12364495467281e-05 0.000413249829017412
"Phel_contig_1005" 3425.16142786886 -1.73211498731394 0.420913289571513 -4.11513494638581 3.86952961953804e-05 0.000691902647202167
"Phel_contig_10050" 281.308679616738 -1.60078216546685 0.392846503210577 -4.0748285968802 4.60482505783787e-05 0.000791912589564475
"Phel_contig_10058" 24.604598291592 2.88856864549389 1.05175754871186 2.74642064516834 0.00602494594564978 0.0380078365730243
"Phel_contig_1006" 78.3048539525125 -2.13472490247183 0.528881458765248 -4.03630126768986 5.43004804793311e-05 0.000910629175740334
"Phel_contig_10064" 146.509765995238 2.10536064604721 0.770892780502276 2.73106805420523 0.00631294342085957 0.0394787428750917
"Phel_contig_10065" 28.4083629912895 2.49500252796724 0.672853099547265 3.70809398016599 0.000208825159159319 0.00275879109348091
"Phel_contig_10088" 26.9096014065836 -3.90067010238744 0.885709436507484 -4.40400648520637 1.06269764007616e-05 0.000232566048892047
"Phel_contig_10091" 35.278750858583 -2.4864470817843 0.870040773916307 -2.8578512137909 0.00426520332037664 0.029337738562275
"Phel_contig_10092" 299.826637976748 -1.76671293015658 0.434812135341218 -4.06316380468581 4.84120309090709e-05 0.000827949222197888
"Phel_contig_10095" 25.9815160428041 -2.81129284627585 0.752841672098472 -3.73424180736389 0.000188281533147007 0.00252758304286846
"Phel_contig_10096" 133.134858412466 2.00250217575481 0.665533098181286 3.00886940292989 0.00262221807128359 0.0201422156257914
"Phel_contig_10101" 8.11907672979931 4.29909571580424 1.29254997393833 3.32605763992639 0.00088083711521317 0.00866985038098211
"Phel_contig_10104" 564.435027793299 -2.07998217286018 0.545833739185879 -3.81065152909477 0.000138601025314054 0.00198790315191472
"Phel_contig_10111" 79.888449006555 -1.32611725983603 0.4719531809406 -2.80984918290642 0.00495647201955562 0.0328303574432387
"Phel_contig_10123" 20.543708195679 -2.43325510189634 0.776744751997028 -3.13263153132402 0.00173246783111574 0.0147444070733254
"Phel_contig_10131" 231.736116465646 -1.69902745541359 0.635394870308 -2.67397099789302 0.00749589337274482 0.0448507747510493
"Phel_contig_10136" 49.0343555401358 1.45165408593621 0.513968183627296 2.82440456856932 0.00473685519729648 0.0317062510881946
"Phel_contig_10138" 1183.17734641357 -1.43235403514213 0.501110809694116 -2.85835788698403 0.00425839807210042 0.0293039957964189
"Phel_contig_1014" 79.7722706317807 2.72836534748125 0.777589121854994 3.5087493777852 0.000450218937179715 0.00514002390530707
"Phel_contig_10147" 196.905721355388 -1.22638300155921 0.466547307917425 -2.62863589768323 0.0085728094348711 0.049764225690195
"Phel_contig_10155" 119.980625844103 1.53442364004438 0.504812682035638 3.03959011857007 0.00236900315546055 0.0186040083087593
"Phel_contig_10156" 243.798360832583 -1.73672764094544 0.477249992992694 -3.63903125499266 0.000273665587011325 0.00343074676694406
"Phel_contig_10157" 457.965880020653 -2.18738128552088 0.464214363188123 -4.71200690667653 2.45289064369926e-06 6.67285112139848e-05
"Phel_contig_10159" 333.229684171214 -1.72768788430118 0.409409925542844 -4.21994626048796 2.44360560749122e-05 0.000467924478030233
"Phel_contig_10160" 163.35831656403 -1.36017598967377 0.472447105442861 -2.87900163638165 0.00398936264140212 0.0279048682170615
"Phel_contig_10161" 47.7332349044404 -2.54165629697153 0.794889070663783 -3.1974981047973 0.00138625322276045 0.012388526939026
"Phel_contig_10165" 435.071834734386 3.2660653112017 0.538151950735259 6.06903924948965 1.2867769845786e-09 8.32167151703526e-08
"Phel_contig_10172" 49.6474630690602 -2.4654227452861 0.62661326786983 -3.93452049565963 8.33629553225457e-05 0.00130281027534985
"Phel_contig_10178" 712.298216273985 -2.5938851487645 0.521183345590375 -4.97691488170302 6.4605714162388e-07 2.09532045932069e-05
"Phel_contig_10182" 17.3431113640648 3.69901182247086 1.19594690034074 3.09295656974149 0.00198173134715534 0.0163441760590131
"Phel_contig_1019" 1731.73412320662 1.67972140597864 0.463716870510081 3.62229953836049 0.000291995723750195 0.00361646079874094
"Phel_contig_10198" 95.4883304727112 1.81464588883444 0.494562194474096 3.66919653202381 0.000243313978304653 0.00313578874187381
"Phel_contig_10208" 26.8479420932029 4.14708178614036 0.826409006215264 5.01819529428038 5.2159140102958e-07 1.73062584673409e-05
"Phel_contig_1021" 738.986274969809 2.97957392439953 0.547867160508255 5.43849702843183 5.37319059091555e-08 2.35417681062426e-06
"Phel_contig_10214" 272.205171173867 -1.85346982373725 0.415580720329672 -4.45995141994779 8.19782326469571e-06 0.000184836098661198
"Phel_contig_10224" 17.2754195021612 3.05136701516011 0.816903156111399 3.73528611357697 0.000187501885855149 0.0025218186391477
"Phel_contig_1023" 175.433198906664 -1.10558101524048 0.402201646104733 -2.7488227011199 0.00598097284541547 0.0377856137645435
"Phel_contig_10235" 238.896644436903 -1.81161847263774 0.464032977774327 -3.90407268321085 9.45873537693608e-05 0.00143980749923763
"Phel_contig_10244" 44.5932150538672 2.86958706916611 0.73489448267542 3.90476066539408 9.4318681484473e-05 0.00143774419200043
"Phel_contig_10247" 86.1689630634476 1.59447896907308 0.538945369125014 2.95851687465419 0.00309123316514471 0.0227575447740715
"Phel_contig_10256" 29.0294133855627 -2.27983348692495 0.827362446409972 -2.75554383307754 0.00585946528097325 0.0372248382555948
"Phel_contig_10261" 66.0462153459919 2.57837195776359 0.753295459449321 3.42278972403265 0.00061982005087077 0.0066212230953554
"Phel_contig_10262" 73.6835986039648 1.95295408938126 0.568851191602835 3.43315460740881 0.000596601792689084 0.00644007932138141
"Phel_contig_10263" 177.203163603303 1.26507637487955 0.454027520200417 2.786342938686 0.00533064434738482 0.0347022055164292
"Phel_contig_10267" 137.504608895085 2.5270605045989 0.681309150826964 3.70912456046068 0.000207977099957948 0.00275095245504696
"Phel_contig_1027" 4012.26001947621 1.55132075921781 0.404247881120019 3.8375482758739 0.000124268809623089 0.00180876434491827
"Phel_contig_10279" 62.545237178926 2.3677544444824 0.762675859403328 3.10453571499534 0.00190577917626229 0.0158448153222731
"Phel_contig_10295" 261.125131897763 1.58207452391342 0.556056852478843 2.84516685094465 0.00443881651644491 0.0301815076651134
"Phel_contig_10304" 15.5827983263333 2.6885696139249 0.758631418934558 3.54397345907556 0.000394144920842266 0.00463177562369125
"Phel_contig_1031" 13970.3368078666 -2.45483313348495 0.557794856974314 -4.40096050150207 1.07772743664114e-05 0.000235616524609803
"Phel_contig_10315" 13.6694576511194 -2.92290278353545 0.876286778207496 -3.33555504456481 0.00085129298797277 0.0084542200184882
"Phel_contig_10324" 18.7513561155019 3.28744468335152 0.846144096469777 3.88520666523251 0.00010224287601346 0.00153470891027849
"Phel_contig_10335" 45.8975386306614 4.06772046789379 0.901775467828708 4.51079078219774 6.4586398647739e-06 0.000150981191644065
"Phel_contig_10336" 100.327822261364 1.9158324053766 0.567099411999612 3.37830081435159 0.000729352488502195 0.00748764912150543
"Phel_contig_10341" 14.6733810155462 -4.93006473387002 1.10658978054129 -4.45518729755347 8.38199857901482e-06 0.000188398719361832
"Phel_contig_10344" 129.739542685059 1.64857945009996 0.543619249989957 3.03259947128513 0.00242457173977319 0.0189064077902892
"Phel_contig_10349" 300.242499795969 -2.72887955020004 0.446021688409116 -6.11826649043344 9.45987735567397e-10 6.38541721507993e-08
"Phel_contig_10373" 22.2498136864634 4.47114024045918 1.04999529369274 4.25824788674486 2.06035409141086e-05 0.000403112757015169
"Phel_contig_10383" 45.0973328339636 3.71055146052952 0.991826357828195 3.74113011944402 0.000183194638973721 0.0024762229047762
"Phel_contig_1039" 1040.99115177378 2.61821274402846 0.649818184414977 4.02914662412164 5.59796962207445e-05 0.000930124183360062
